PRIMARY_KEY,STATE,Region,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_REVENUE_PS,FEDERAL_REVENUE,FEDERAL_REVENUE_PS,STATE_REVENUE,STATE_REVENUE_PS,LOCAL_REVENUE,LOCAL_REVENUE_PS,TOTAL_EXPENDITURE,TOTAL_EXPENDITURE_PS,INSTRUCTION_EXPENDITURE,INSTRUCTION_EXPENDITURE_PS,SUPPORT_SERVICES_EXPENDITURE,SUPPORT_SERVICES_EXP_PS,OTHER_EXPENDITURE,OTHER_EXPENDITURE_PS,CAPITAL_OUTLAY_EXPENDITURE,CAPITAL_OUTLAY_EXP_PS,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2009_ARIZONA,ARIZONA,West,2009,981303,8802515,8.860382156,1044140,1.051004108,3806064,3.831084815,3952311,3.978293233,9580393,9.643373875,4296503,4.324747929,2983729,3.003343839,455403,0.458396789,1312659,1.321288334,9175,84191,83686,82163,79283,666897,317397,993469,229.9911052,277.332282,209.9892695,267.1670297
2010_ARIZONA,ARIZONA,West,2010,963517,8828122,8.928649667,1579806,1.59779558,3139588,3.175339143,4108728,4.155514943,8812967,8.913322093,4223152,4.271241913,2949514,2.983100731,400773,0.405336686,713810,0.721938303,8554,82860,82862,80636,81326,660440,319747,988741,229.9911052,277.332282,209.9892695,267.1670297
2011_ARIZONA,ARIZONA,West,2011,946571,8429186,8.465885614,1245814,1.251238117,3054501,3.067799913,4128871,4.146847584,8610417,8.647905671,3977772,3.995090718,2935127,2.947906173,350633,0.352159612,741124,0.744350761,8860,84433,82566,81294,81179,665998,320807,995665,235.157597,279.0335017,212.3950499,270.9661722
2012_ARIZONA,ARIZONA,West,2012,942738,7934798,7.911695848,1050228,1.047170263,2845535,2.837250229,4039035,4.027275356,8054662,8.031210864,3917564,3.906158019,2856528,2.848211223,360929,0.359878156,699033,0.696997767,9304,86265,83892,82769,81751,671982,321634,1002920,235.157597,279.0335017,212.3950499,270.9661722
2013_ARIZONA,ARIZONA,West,2013,941726,8164324,8.036329382,1178356,1.159882551,2934165,2.888165193,4051803,3.988281638,7600581,7.481424354,3824071,3.764119863,2643742,2.602295244,368750,0.362968993,558466,0.549710757,8791,86258,84282,83849,84291,679992,327144,1015927,240.3049115,279.722268,213.1341315,257.4278382
2014_ARIZONA,ARIZONA,West,2014,943937,8361708,8.132264295,1102980,1.072714435,3182285,3.094963694,4076443,3.964586166,8109460,7.886937933,3902565,3.795479346,2858103,2.779677188,461316,0.448657575,678228,0.65961755,8839,83241,85535,84596,84913,687823,331552,1028214,240.3049115,279.722268,213.1341315,257.4278382
2015_ARIZONA,ARIZONA,West,2015,944978,8230507,7.994897374,1093834,1.062521492,3232013,3.139492166,3904660,3.792883717,7902600,7.676377165,3846357,3.736249721,2880184,2.797734757,478876,0.465167513,497662,0.483415738,8747,79396,86594,84084,84854,687144,333579,1029470,237.6117554,282.9194894,215.3113365,260.3170188
1993_ARKANSAS,ARKANSAS,South,1993,311432,1346909,3.30668575,128196,0.314723479,771079,1.893012773,447634,1.098949498,1376067,3.378269163,782791,1.921765944,386526,0.948928262,68617,0.168455966,97824,0.240159674,1248,34337,34255,36471,27169,280280,125801,407329,210.2060281,256.3120904,208.6344584,264.6196647
1994_ARKANSAS,ARKANSAS,South,1994,312695,1393287,3.406128301,132108,0.322960594,810396,1.981151587,450783,1.10201612,1445984,3.534955128,816270,1.995511584,403608,0.986688766,75434,0.184411311,105349,0.257543643,1652,35620,34488,36437,27161,279964,127437,409053,210.2060281,256.3120904,208.6344584,264.6196647
1995_ARKANSAS,ARKANSAS,South,1995,447757,2057550,4.978489576,197556,0.478010491,1244457,3.011113316,615537,1.489365769,2155067,5.214443681,1211057,2.930298,598109,1.447196628,119934,0.290194731,160693,0.388816031,1525,36731,33955,36696,27083,281900,129863,413288,210.2060281,256.3120904,208.6344584,264.6196647
1996_ARKANSAS,ARKANSAS,South,1996,452907,2183384,5.225156751,192152,0.459847796,1296247,3.102108362,694985,1.663200594,2297381,5.497968219,1264275,3.025594697,636106,1.522294548,127007,0.303946298,203555,0.48713684,1980,36442,33855,37064,27613,283883,131997,417860,215.846436,261.6527453,208.8377158,271.8345898
